dark_pixel_count,avg_x,avg_y,bbox_width,bbox_height,intersection_count,loop_count,corner_count,symmetry_metric,writing_angle_global,writing_angle_tl,writing_angle_tr,writing_angle_bl,writing_angle_br,writing_magnitude_global,writing_magnitude_tl,writing_magnitude_tr,writing_magnitude_bl,writing_magnitude_br,label
650,13.44,13.398461538461538,28,28,22,0,23,0.20918367346938777,-85.0,9.0,81.0,-45.0,79.0,268.3710524578414,214.79484104293596,321.92573409304055,292.94827810657404,243.81535658881504,5
629,13.362480127186009,13.503974562798092,28,28,33,0,23,0.2423469387755102,5.0,-135.0,161.0,-79.0,71.0,237.43181499732196,220.84116209508463,253.09734620005273,251.22341247150737,224.56533922264313,0
679,13.528718703976436,13.406480117820324,28,28,31,0,12,0.21683673469387754,45.0,-135.0,9.0,-45.0,45.0,224.26597495130156,268.5143282939614,225.83436527982798,190.5990029347904,212.11620329662645,4
702,13.417378917378917,13.427350427350428,28,28,20,0,13,0.17346938775510204,-175.0,-135.0,81.0,161.0,45.0,189.3533928323149,160.47749087921957,225.20300430824207,198.4786755862444,173.25440055555362,1
670,13.453731343283582,13.441791044776119,28,28,27,0,18,0.15306122448979592,11.0,45.0,9.0,-45.0,-161.0,208.50376012504336,236.40730070612273,239.07786376675924,193.78728905110964,164.74258697618174,9
635,13.38267716535433,13.337007874015748,28,28,28,0,28,0.20153061224489796,-93.0,-101.0,7.0,-71.0,67.0,267.6596332882227,272.2294776484891,263.5256586515712,325.3651970296943,209.51819982313643,2
703,13.392603129445234,13.490753911806543,28,28,20,0,4,0.09438775510204081,3.0,-135.0,9.0,-45.0,169.0,169.45614136894704,155.6938917702427,174.54357579895077,166.385493070605,181.20160483598968,1
616,13.262987012987013,13.318181818181818,28,28,23,0,17,0.22448979591836735,11.0,-71.0,83.0,-45.0,45.0,275.40296153211875,293.46323997526895,276.53990007604034,306.3475022174781,225.26120385968755,3
732,13.456284153005464,13.426229508196721,28,28,20,0,6,0.061224489795918366,3.0,9.0,-45.0,-45.0,45.0,164.40989997919044,161.0166392769633,175.29360264460425,158.0626381812706,163.26671981392366,1
675,13.352592592592593,13.46962962962963,28,28,30,0,21,0.18112244897959184,-169.0,-161.0,9.0,-45.0,-109.0,241.37405059064068,197.35250193217593,321.1686231770421,255.90445754979254,191.07061970355207,4
648,13.453703703703704,13.45216049382716,28,28,22,0,16,0.14795918367346939,3.0,-79.0,7.0,-71.0,169.0,242.0268985051027,255.23180759045403,189.102206629988,313.55145941809997,210.2221203818688,3
711,13.412095639943741,13.478199718706048,28,28,17,0,15,0.15051020408163265,-95.0,-101.0,83.0,161.0,-161.0,229.15034813731768,202.86321751360606,232.5143140747391,276.3025683279052,204.92129263302039,5
610,13.381967213114754,13.270491803278688,28,28,24,0,18,0.19387755102040816,87.0,-81.0,-71.0,-59.0,45.0,283.53100608823644,303.60988496339115,291.4973774296967,306.35959548200253,232.65716647785547,3
642,13.509345794392523,13.475077881619939,28,28,32,0,22,0.15816326530612246,3.0,-135.0,135.0,161.0,161.0,249.3440599147789,221.8365766105611,281.42199710888735,259.55432328252977,234.56334265713755,6
730,13.483561643835616,13.432876712328767,28,28,20,0,4,0.04591836734693878,3.0,9.0,9.0,135.0,45.0,163.81771337643346,171.42480254226942,172.29349526199047,161.0627455638844,150.48981013758964,1
