label,dark_pixel_count,avg_x,avg_y,bbox_width,bbox_height,intersection_count,loop_count,corner_count,symmetry_metric,writing_angle,writing_magnitude,q1_angle,q2_angle,q3_angle,q4_angle,q1_magnitude,q2_magnitude,q3_magnitude,q4_magnitude
5,80,13.4125,14.3875,18,20,22,0,11,85.20408163265306,-109.0,3793784052.2461233,-45.0,79.0,-109.0,135.0,179274094.53605857,466711668.7344898,935177191.8445622,554523144.0367061
0,92,13.923913043478262,13.347826086956522,15,20,35,1,10,81.12244897959184,-135.0,3794338800.000001,-135.0,-9.0,169.0,-135.0,726539628.8279877,477062489.1749526,670256403.4490005,641203430.9340916
4,44,14.022727272727273,14.068181818181818,18,20,28,0,3,89.79591836734694,11.0,3392678997.5266957,9.0,19.0,85.0,169.0,173714745.98837236,385839515.39017457,155437022.85221577,603265015.127478
1,55,13.89090909090909,14.618181818181819,12,20,20,0,5,87.5,35.0,3160080895.7052283,-179.0,45.0,135.0,135.0,0.0,957922109.8789514,74669963.73346417,42664254.11399302
9,70,13.571428571428571,14.057142857142857,13,20,28,1,10,86.22448979591837,-135.0,2883085553.6863804,45.0,45.0,135.0,135.0,796521523.8639227,580209256.309781,279468622.0820378,185809756.4800053
2,89,13.9438202247191,13.865168539325843,20,16,26,1,14,82.90816326530613,-109.0,2956069345.802145,-135.0,9.0,-135.0,-45.0,336182199.33159506,451766061.10003376,896166085.5616598,318185578.4002673
1,58,14.379310344827585,14.172413793103448,6,20,20,0,2,92.3469387755102,-3.0,2163754076.4314814,45.0,5.0,161.0,135.0,179094928.72861204,192326695.2976581,42077682.906800665,272009840.34828436
3,115,14.443478260869565,13.826086956521738,17,20,23,0,10,80.35714285714286,71.0,5070262219.126767,-45.0,97.0,-71.0,45.0,313017224.1724405,212951677.17692253,898834330.9519885,782479977.8514977
1,31,14.129032258064516,14.32258064516129,3,19,19,0,5,95.1530612244898,-3.0,5417283358.598855,5.0,5.0,-179.0,45.0,74908800.0,154423435.06458285,0.0,194692217.95920914
4,64,14.203125,14.15625,16,19,28,0,10,88.77551020408163,37.0,5387976623.090237,45.0,31.0,45.0,45.0,133863732.5424032,608424962.3687793,413834046.716903,102221792.32363662
3,94,14.127659574468085,13.308510638297872,12,20,22,0,7,88.26530612244898,135.0,1693208915.4057014,-45.0,5.0,-45.0,135.0,95713011.85196961,91101714.59843224,369875088.9227879,463997407.9371409
5,43,14.465116279069768,13.790697674418604,20,14,16,0,8,90.05102040816327,71.0,2152662431.3189135,45.0,67.0,-45.0,45.0,26010000.000000007,723600978.0159152,485314207.2999935,33995428.442802615
3,105,14.276190476190477,14.457142857142857,19,19,23,0,9,84.94897959183673,87.0,4041766483.476988,-71.0,45.0,-45.0,45.0,706796206.168575,119045712.04997292,523987307.1662991,486664879.50220317
6,83,13.686746987951807,13.662650602409638,14,20,33,1,13,86.4795918367347,45.0,5691508200.000001,-135.0,45.0,135.0,-135.0,402034299.76187146,787968353.2632904,362640359.40718067,1099067048.2200618
1,34,13.411764705882353,14.382352941176471,3,19,19,0,6,98.46938775510205,3.0,5358967842.77985,5.0,45.0,175.0,175.0,163468018.0654573,67244244.49673189,177293459.54903662,217731484.8333925
7,78,14.102564102564102,13.371794871794872,15,20,25,0,8,85.71428571428571,35.0,5097582292.155529,45.0,81.0,-135.0,-135.0,320059600.8299591,425064773.5273337,818122099.756589,195416088.84749895
2,76,14.302631578947368,14.43421052631579,19,18,27,1,10,86.73469387755102,-95.0,2610114390.4907227,-135.0,135.0,-101.0,135.0,201500199.93902355,493761350.0479053,678648732.7534101,276706114.7308946
8,75,13.76,13.813333333333333,14,20,32,2,10,86.4795918367347,-135.0,5556776400.000002,-135.0,45.0,-135.0,45.0,214129542.319085,840809908.3910527,744605579.6251806,110151248.27647872
6,33,14.0,14.606060606060606,10,20,26,0,0,93.62244897959184,45.0,906708600.0000002,-135.0,45.0,135.0,45.0,81705676.35303533,180421471.45316246,207583547.9284133,214040514.23422948
9,50,14.08,14.02,12,20,25,0,9,90.3061224489796,-151.0,2533791583.15348,19.0,-45.0,-135.0,45.0,111901029.70314197,322534022.0974338,595657914.3994007,59385355.20069578
4,112,13.642857142857142,13.9375,18,19,29,0,7,82.6530612244898,135.0,2315103325.943277,135.0,9.0,-135.0,135.0,590515552.7219079,335436846.0667191,74018463.50891025,425928014.7704448
0,112,14.044642857142858,13.401785714285714,16,20,35,1,12,81.12244897959184,45.0,3925429199.9999995,45.0,135.0,161.0,45.0,885458023.3880533,544495737.3824068,796131479.399085,1012572091.9679574
9,45,13.977777777777778,14.311111111111112,10,20,29,1,7,90.05102040816327,29.0,3428775464.723445,-135.0,45.0,-135.0,45.0,157755414.4383686,255490110.95288196,348154967.3221071,236128918.10569245
1,54,14.092592592592593,14.24074074074074,12,20,20,0,7,87.75510204081633,35.0,5298465403.862564,-179.0,45.0,-161.0,135.0,0.0,1079944922.4167948,824288955.864163,12912367.674557423
1,62,13.64516129032258,13.274193548387096,14,20,22,0,9,88.77551020408163,3.0,2860061779.176547,45.0,45.0,-109.0,81.0,284789710.7789012,335238670.6407522,426278540.7806759,253578290.6187147
2,132,14.575757575757576,14.0,17,20,23,0,5,85.71428571428571,55.0,2523601613.1133366,45.0,45.0,-135.0,71.0,195058484.61208698,378139400.3091951,572993385.9479268,173394824.55095056
4,34,14.617647058823529,14.117647058823529,10,19,25,0,3,93.36734693877551,19.0,3336585234.5772066,9.0,19.0,135.0,19.0,80016326.7199183,428875194.2299629,40749085.738843344,235453899.9962743
3,161,14.397515527950311,14.024844720496894,18,20,23,0,10,78.31632653061224,85.0,3197986873.096547,-71.0,101.0,109.0,45.0,343437474.3501564,645182259.530709,226440743.4834445,395460714.9448726
2,137,14.262773722627736,13.321167883211679,20,20,21,0,9,81.37755102040816,-135.0,3674172600.0000005,-45.0,-45.0,-45.0,-135.0,559596363.7316623,377777147.8606726,208047877.04550195,782281197.2297161
7,49,14.020408163265307,14.16326530612245,12,14,17,0,7,90.56122448979592,-135.0,8047494000.000001,-101.0,45.0,-135.0,45.0,151606115.0964012,306228070.5869329,928113696.3067623,263611349.99999997
3,70,14.257142857142858,13.771428571428572,20,14,18,0,8,87.75510204081633,85.0,3046254498.4036474,-79.0,45.0,135.0,135.0,460029405.09887946,140789442.6406148,32981166.390710466,678077313.3404537
8,108,13.472222222222221,14.416666666666666,17,20,30,2,12,80.10204081632652,-135.0,2920402800.000001,5.0,31.0,-135.0,45.0,120681774.83150753,445048720.54142314,1045654502.8265129,110151248.27647872
6,47,14.319148936170214,14.319148936170214,12,20,29,0,8,91.58163265306123,-161.0,1717041223.1193304,23.0,45.0,-45.0,45.0,229550533.44634977,163207433.80901253,268534984.89709395,587681366.0265838
9,61,14.655737704918034,14.0,14,19,22,1,9,86.98979591836735,45.0,3754283400.000001,-45.0,67.0,-135.0,45.0,101872223.17689693,255106399.60915685,1131013595.8085444,323183343.21614337
0,122,14.344262295081966,14.270491803278688,12,20,32,1,6,81.12244897959184,-161.0,2408480717.152883,5.0,23.0,161.0,45.0,106491740.64077745,467794736.4716677,226609910.43649423,363327556.0703036
5,37,14.0,13.864864864864865,19,16,21,0,5,91.58163265306123,-135.0,1700533800.0,-135.0,67.0,-71.0,45.0,34313162.99112673,541436902.7587276,315922686.4750105,230346904.18458626
6,102,14.264705882352942,14.490196078431373,11,18,21,1,7,87.24489795918367,135.0,1493499101.6513512,5.0,45.0,175.0,45.0,75199786.58275676,139665792.054606,57157358.41161339,149307584.3424487
0,120,14.191666666666666,13.966666666666667,15,20,30,1,4,80.10204081632652,-135.0,1431070200.0000002,45.0,71.0,135.0,-135.0,52541408.19641485,256574009.0471925,216559281.32851073,579908909.3353937
7,61,14.147540983606557,14.344262295081966,17,16,18,0,9,89.03061224489795,-95.0,4451021151.665054,-79.0,11.0,-71.0,135.0,313532217.06786656,254658606.65510842,362011692.22348917,430500059.8835874
6,81,13.975308641975309,14.54320987654321,12,19,31,1,12,89.03061224489795,19.0,3094412350.535222,19.0,45.0,135.0,45.0,241979597.6240948,314509898.52293205,545314574.6485558,756126338.4431127
1,39,14.076923076923077,14.461538461538462,4,20,20,0,6,95.1530612244898,11.0,4861250940.430531,-179.0,45.0,175.0,175.0,0.0,199566283.74690995,262331110.11774826,190953446.6047305
8,88,14.056818181818182,13.636363636363637,14,20,34,1,13,85.71428571428571,45.0,5407479000.000002,-135.0,45.0,-135.0,45.0,254045458.72310486,559007681.3268845,660191418.2243558,433924585.4760013
7,32,14.125,14.4375,10,20,22,0,3,92.85714285714286,11.0,2863840425.837257,-101.0,19.0,-45.0,19.0,142453487.44427305,246353196.9261435,37445873.565680355,196690049.22344053
9,53,14.056603773584905,13.641509433962264,9,20,24,0,9,90.05102040816327,-161.0,3104595415.17616,-135.0,79.0,-135.0,45.0,216767295.37140983,417614451.32138175,432174696.1949787,340740970.26034856
3,51,14.03921568627451,12.901960784313726,14,19,19,0,8,91.58163265306123,93.0,2618847268.4333477,-71.0,45.0,-45.0,45.0,585445359.2780861,289338248.5537033,24389022.129661363,511358753.9587926
9,74,13.58108108108108,14.08108108108108,12,20,29,1,13,88.26530612244898,19.0,3948454373.2610145,45.0,101.0,-135.0,45.0,668457000.0,344740873.7531141,750042117.7220929,550931527.5562925
8,62,13.548387096774194,13.919354838709678,12,20,37,1,8,91.83673469387756,-45.0,2313580846.5997715,-135.0,71.0,135.0,135.0,174855715.32527626,269791934.34090495,310956409.0534013,337619798.60931826
5,65,14.4,14.23076923076923,20,18,17,0,8,85.45918367346938,75.0,2258501425.2399096,45.0,71.0,-71.0,45.0,241186907.66568902,447952130.04935825,1141346733.454354,249493344.26900756
9,43,13.674418604651162,14.116279069767442,8,20,28,1,5,90.05102040816327,-11.0,2025551657.1525676,-135.0,135.0,-45.0,161.0,230847099.68230927,141588106.45152298,137651302.15942723,445923100.9939412
3,106,14.349056603773585,13.40566037735849,16,20,23,1,8,81.63265306122449,-109.0,2686512124.6731553,-71.0,45.0,-45.0,45.0,139964722.9463213,449775103.13885254,508725059.72095495,640474969.1192323
3,51,14.392156862745098,14.431372549019608,12,19,21,0,8,92.09183673469387,-71.0,2372499794.193996,-71.0,19.0,-45.0,45.0,221965646.0698755,293734492.86679876,576427031.734115,473141298.0668113
0,149,13.825503355704697,14.241610738255034,17,20,34,1,12,80.86734693877551,-135.0,3564930600.000001,45.0,79.0,161.0,45.0,137267718.63134813,441589732.5523794,629511559.3241143,1401466565.1993315
7,88,14.363636363636363,14.284090909090908,17,20,23,0,9,90.3061224489796,-161.0,2260897119.877434,-71.0,79.0,-45.0,-161.0,658051391.6626532,424070747.24224955,33588215.46712508,663480530.5264044
4,42,14.30952380952381,14.166666666666666,13,19,24,0,6,92.3469387755102,25.0,2262077270.045782,45.0,19.0,-135.0,45.0,219914550.0,174043076.09642988,205215172.5258593,110104394.46713416
9,68,13.970588235294118,13.397058823529411,17,19,25,0,10,89.79591836734694,-151.0,2266590512.6406336,-109.0,45.0,-135.0,45.0,527912823.1756318,537936161.5745353,157109595.9634338,487380465.1945164
8,96,14.260416666666666,14.03125,16,20,31,1,13,82.6530612244898,45.0,6168531600.0,-135.0,-135.0,45.0,45.0,369311747.9689857,387220877.43998873,761562828.2989566,235883242.03905824
0,141,14.085106382978724,14.00709219858156,18,20,33,1,11,77.8061224489796,45.0,3120679800.0000005,-135.0,-19.0,-45.0,-161.0,286652729.3325098,206226814.91395718,944493338.4484396,805936645.2777454
9,56,14.035714285714286,13.910714285714286,11,20,27,1,9,90.3061224489796,29.0,3267292953.174998,-135.0,11.0,-135.0,45.0,235875954.51397258,380788226.5448149,361504199.5061208,300926512.2272848
4,112,13.714285714285714,13.919642857142858,13,20,27,0,4,84.18367346938776,3.0,4844736205.571026,19.0,7.0,-85.0,161.0,172987546.5509488,261201547.85121715,57157358.41161339,515987674.84263563
1,54,14.185185185185185,13.555555555555555,12,20,20,0,6,87.75510204081633,35.0,4359045379.054809,-45.0,45.0,-161.0,135.0,6830895.116371616,889367155.7458091,157853475.9824836,54803529.25755973
4,94,14.074468085106384,13.287234042553191,20,16,27,0,11,93.87755102040816,85.0,3903732805.1504974,45.0,-11.0,-71.0,135.0,977213237.0130368,294725615.36949974,655715860.9372168,468412850.95145744
4,47,13.361702127659575,14.27659574468085,12,20,26,0,7,91.58163265306123,-151.0,4323593124.919379,45.0,45.0,161.0,71.0,187542324.90745378,777044418.8991159,329878453.4523354,22242001.27397826
6,96,14.09375,14.177083333333334,12,19,28,1,13,87.24489795918367,-135.0,4467997800.0,-135.0,-45.0,-45.0,45.0,295918546.98293483,309211864.1767146,606261762.406534,1131535183.0745609
0,157,13.509554140127388,14.305732484076433,18,20,31,1,9,75.76530612244898,-135.0,5381989200.000001,45.0,135.0,135.0,45.0,117444466.35535975,181458175.6600915,662629381.1277559,1808501672.3665206
4,76,14.157894736842104,14.157894736842104,16,20,34,0,14,85.20408163265306,-161.0,6115590281.174817,-135.0,23.0,-101.0,-161.0,566393487.0490954,484374256.9495437,380526244.3902155,679499575.5656198
5,49,13.959183673469388,14.020408163265307,20,14,15,0,8,90.05102040816327,71.0,3932266914.0756907,45.0,71.0,-45.0,45.0,242705821.29882276,778143414.7455716,400259353.6661254,28787068.074952792
6,79,13.746835443037975,14.063291139240507,13,19,25,1,10,87.5,35.0,4000982176.8897204,45.0,45.0,-45.0,45.0,244106716.75016928,876036042.3755833,496464779.9021375,653891400.0000001
1,43,13.55813953488372,14.953488372093023,10,18,20,0,5,91.58163265306123,19.0,3093068609.0704737,-45.0,45.0,-161.0,45.0,24759764.749998726,166107336.78507727,268409277.71121982,66596440.43294091
0,67,14.044776119402986,13.432835820895523,20,19,34,0,9,88.5204081632653,-45.0,2803629800.255518,-135.0,-45.0,135.0,71.0,606944832.0229595,975506011.4904859,524404879.6445732,323155613.21913785
0,147,14.251700680272108,14.149659863945578,14,20,31,1,3,88.01020408163265,7.0,1031938725.901448,-45.0,5.0,-45.0,45.0,109595040.63968265,120157301.33284353,176587930.31896472,138032145.80639964
1,71,13.76056338028169,13.690140845070422,10,19,23,0,7,95.1530612244898,3.0,4137246531.622599,5.0,5.0,45.0,-135.0,207130833.10739473,154423435.06458285,102746996.13806702,241759334.99168614
7,58,14.172413793103448,14.068965517241379,14,20,22,0,7,88.26530612244898,-135.0,4402409295.5731945,-109.0,45.0,-135.0,45.0,264591818.21671808,308855876.31685656,808038268.8661926,343613184.69034487
